scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
1.500000,-6.607895,388.275365,3.303374,106.757363,3.182945
1.500000,-6.118421,388.768998,1.713671,1570859040.802274,0.051406
1.500000,-5.628947,6362.147575,1.431705,86583186942.954895,1.503971
1.500000,-5.139474,86.190986,0.902140,14.752170,108632.170166
1.500000,-4.650000,634.036565,3.887161,64.060419,1880130.726971
1.500000,-4.160526,717.171553,4.092201,41.205174,486899.235881
1.500000,-3.671053,164.637643,9.034153,12357734891.129230,0.176391
1.500000,-3.181579,17.579026,0.326859,53.208467,0.033720
1.500000,-2.692105,6653.212638,4.076669,89355335363.140930,0.761905
1.500000,-2.202632,527.072920,0.445794,9010454.156208,0.025754
1.500000,-1.713158,1731.277623,3.178269,29683.676711,2.514145
1.500000,-1.223684,0.001000,0.000000,0.001000,0.000000
1.500000,-0.734211,7859907724.635663,0.132444,0.001000,0.000000
1.500000,-0.244737,0.001000,0.000000,0.001000,0.000000
2.000000,-9.055263,8835.461899,3.546972,1974.765463,1.877531
2.000000,-8.565789,148.124071,4405457.752682,1092.172094,4.788154
2.000000,-8.076316,7578.224773,0.347877,348.322867,0.778674
2.000000,-7.586842,355.070707,1.309730,386.311580,168.042405
2.000000,-7.097368,646.046195,1.439909,72.940133,819012.293652
2.000000,-6.607895,1087.671909,1.748843,2138.403727,0.994337
2.000000,-6.118421,2311704998.336657,1.551179,499576426312.862305,4.049786
2.000000,-5.628947,82.322864,1.096394,9.286011,34442.140250
2.000000,-5.139474,129.130428,4731555.242436,149880047.127524,0.162254
2.000000,-4.650000,365.714039,5.892169,286.953270,2.178212
2.000000,-4.160526,439.638862,2.422179,425360547.559029,0.032496
2.000000,-3.671053,7.180915,27491.637547,6.656490,0.213602
2.000000,-3.181579,9372.905244,2.676771,55418213737.562363,0.466488
2.000000,-2.692105,581.622081,1.062312,28.592815,0.022670
2.000000,-2.202632,46893863403.841522,1.123908,63152.931574,4.963777
2.000000,-1.713158,292437854.460091,0.051223,0.001000,0.000000
2.000000,-1.223684,31.350091,0.893019,0.001000,0.000000
2.000000,-0.734211,0.001000,0.000000,0.001000,0.000000
2.000000,-0.244737,0.001000,0.000000,0.001000,0.000000
2.500000,-9.055263,354.187130,5.643400,11896268378.445450,1.696096
2.500000,-8.565789,35867.609628,2.877609,3195.360561,3.703774
2.500000,-8.076316,44391.679863,1.350624,182.664263,9005622.881217
2.500000,-7.586842,214.227920,1.936186,314.581183,0.999430
2.500000,-7.097368,645.185254,2.696582,155.729510,7192880.404081
