scour_m,z_m,spring_type,k_FEM,k_ref,alpha_FEM,alpha_theory,ratio_FEM_theory,r_squared,n_regression_points
2.500000,-7.500000,k_tz,641.510592,6284.402756,0.102080,0.816497,0.125022,0.118904,5
2.500000,-8.000000,k_tz,1808.665189,4222.353288,0.428355,0.829156,0.516615,0.933333,5
2.500000,-8.500000,k_tz,4684.209814,9558.657021,0.490049,0.840168,0.583275,0.831238,5
2.500000,-9.000000,k_tz,1564.881770,3852.451674,0.406204,0.849837,0.477979,0.421333,5
3.000000,0.000000,k_py,0.000000,556.164761,0.000000,0.000000,,0.000000,0
3.000000,-0.500000,k_py,1450.328962,2285.306694,0.634632,0.000000,,0.726660,5
3.000000,-1.000000,k_py,837.422843,1023.659653,0.818068,0.000000,,0.562492,5
3.000000,-1.500000,k_py,359.341808,11446.153016,0.031394,0.000000,,0.957214,4
3.000000,-2.000000,k_py,1483.079196,7167.900097,0.206906,0.000000,,0.404268,5
3.000000,-2.500000,k_py,3521.503726,25.445010,138.396631,0.000000,,0.859648,5
3.000000,-3.000000,k_py,1756.339375,4295.612216,0.408868,0.000000,,0.096456,5
3.000000,-3.500000,k_py,8047.610975,10236.762820,0.786148,0.377964,2.079952,0.914965,5
3.000000,-4.000000,k_py,8430.980101,6379.349251,1.321605,0.500000,2.643210,0.468471,5
3.000000,-4.500000,k_py,6678.928812,17985.581802,0.371349,0.577350,0.643195,0.290101,5
3.000000,-5.000000,k_py,6282.816879,5398.911809,1.163719,0.632456,1.840001,0.122627,5
3.000000,-5.500000,k_py,3953.641369,3024.927406,1.307020,0.674200,1.938624,0.474859,5
3.000000,-6.000000,k_py,13606.614073,4225.307160,3.220266,0.707107,4.554144,0.896033,5
3.000000,-6.500000,k_py,10156.702162,4739.202477,2.143125,0.733799,2.920587,0.698358,5
3.000000,-7.000000,k_py,11255.203558,338.970767,33.204054,0.755929,43.924834,0.408840,5
3.000000,-7.500000,k_py,1824.525133,2931.063182,0.622479,0.774597,0.803617,0.051277,5
3.000000,-8.000000,k_py,4554.447287,779.710561,5.841203,0.790569,7.388602,0.162995,5
3.000000,-8.500000,k_py,18569.332984,2497.578120,7.434936,0.804400,9.242838,0.412599,5
3.000000,-9.000000,k_py,18149.875395,5942.928856,3.054029,0.816497,3.740406,0.753825,5
3.000000,0.000000,k_tz,0.000000,177.896511,0.000000,0.000000,,0.000000,0
3.000000,-0.500000,k_tz,45.700608,118.617695,0.385276,0.000000,,0.073298,5
3.000000,-1.000000,k_tz,1773.051032,559.326370,3.169976,0.000000,,0.682780,5
3.000000,-1.500000,k_tz,1163.377626,583.259125,1.994615,0.000000,,0.726291,5
3.000000,-2.000000,k_tz,3201.487372,805.633652,3.973875,0.000000,,0.856792,5
3.000000,-2.500000,k_tz,1203.269789,1818.548527,0.661665,0.000000,,0.576214,5
3.000000,-3.000000,k_tz,786.335702,1948.364277,0.403588,0.000000,,0.504134,4
3.000000,-3.500000,k_tz,261.975361,4054.277160,0.064617,0.377964,0.170961,0.013615,5
3.000000,-4.000000,k_tz,1726.324544,229.283817,7.529204,0.500000,15.058407,0.546806,5
3.000000,-4.500000,k_tz,1926.606100,2721.425164,0.707940,0.577350,1.226188,0.338992,5
3.000000,-5.000000,k_tz,4728.350872,5656.199613,0.835959,0.632456,1.321767,0.578774,5
3.000000,-5.500000,k_tz,5844.845264,1315.643811,4.442574,0.674200,6.589402,0.635471,5
3.000000,-6.000000,k_tz,1852.604471,4011.991303,0.461767,0.707107,0.653037,0.078033,5
3.000000,-6.500000,k_tz,3591.392937,1182.523335,3.037059,0.733799,4.138814,0.735728,5
3.000000,-7.000000,k_tz,3433.162734,6496.250382,0.528484,0.755929,0.699118,0.718800,5
3.000000,-7.500000,k_tz,1393.462301,6284.402756,0.221733,0.774597,0.286257,0.666450,5
3.000000,-8.000000,k_tz,642.222084,4222.353288,0.152101,0.790569,0.192394,0.034892,5
3.000000,-8.500000,k_tz,1347.379079,9558.657021,0.140959,0.804400,0.175235,0.206374,5
3.000000,-9.000000,k_tz,2530.977347,3852.451674,0.656978,0.816497,0.804631,0.624909,5
3.500000,0.000000,k_py,0.000000,556.164761,0.000000,0.000000,,0.000000,0
3.500000,-0.500000,k_py,2505.210862,2285.306694,1.096225,0.000000,,0.751942,5
3.500000,-1.000000,k_py,4018.102798,1023.659653,3.925233,0.000000,,0.127355,5
3.500000,-1.500000,k_py,6666.829037,11446.153016,0.582452,0.000000,,0.152442,5
3.500000,-2.000000,k_py,5871.671999,7167.900097,0.819162,0.000000,,0.418768,5
3.500000,-2.500000,k_py,8440.371005,25.445010,331.710259,0.000000,,0.782191,5
3.500000,-3.000000,k_py,15440.153811,4295.612216,3.594401,0.000000,,0.772254,5
3.500000,-3.500000,k_py,3278.363145,10236.762820,0.320254,0.000000,,0.617304,5
3.500000,-4.000000,k_py,6304.393638,6379.349251,0.988250,0.353553,2.795194,0.085229,5
