scour_depth,node_depth,k_py,p_ult_py,k_tz,t_ult_tz
3.500000,-7.586842,4900406694.998210,1103549.581759,6546674146.956220,154780.475261
3.500000,-7.097368,5123769765.963760,1040574.676339,6546561194.973114,137972.083177
3.500000,-6.607895,5367274399.306542,951711.893063,6546469326.027098,114211.133561
3.500000,-6.118421,5624394550.560105,842145.794792,6546398563.002654,87071.223205
3.500000,-5.628947,5887184534.539704,718662.663580,6546348923.529907,61065.857440
3.500000,-5.139474,6146642264.074080,588948.774363,6546320419.977299,40164.530037
3.500000,-4.650000,6393190219.171629,460804.009563,6546313059.446455,26677.202652
3.500000,-4.160526,6617241848.583955,341381.026115,6546326843.769233,20909.096455
3.500000,-3.671053,6809808975.021426,236550.472665,6546361769.506968,21592.320469
3.500000,-3.181579,6963097770.540119,150466.682102,6546417827.951895,26768.645698
3.500000,-2.692105,7071038486.236410,85371.813479,6546495005.130774,34676.632866
3.500000,-2.202632,7129698153.451870,41637.138344,6546593281.810693,44295.483244
3.500000,-1.713158,7137535808.402258,18005.454526,6546712633.507051,55419.107320
3.500000,-1.223684,7095475353.615232,11974.174138,6546853030.493731,68351.020326
3.500000,-0.734211,7006790041.573699,20247.492941,6547014437.815434,83436.990439
3.500000,-0.244737,6876812272.723593,39188.241231,6547196815.302193,100663.827524
4.000000,-9.055263,5254647096.923399,1184780.049941,6610406077.803633,105969.260369
4.000000,-8.565789,5587727749.334249,1216974.732883,6610279039.239513,91323.542058
4.000000,-8.076316,5973871569.114232,1220016.672817,6610167756.557968,79774.699862
4.000000,-7.586842,6409055493.230139,1191743.301036,6610072257.455119,71649.620691
4.000000,-7.097368,6885995333.553865,1132439.054813,6609992565.706750,66788.139340
4.000000,-6.607895,7394098809.167936,1044917.032557,6609928701.158446,64659.680239
4.000000,-6.118421,7919677471.454908,934292.381185,6609880679.717355,64527.378441
4.000000,-5.628947,8446435778.853937,807473.741149,6609848513.345580,65606.623764
4.000000,-5.139474,8956228027.697540,672444.274405,6609832210.055223,67191.334382
4.000000,-4.650000,9430043581.709370,537436.036979,6609831773.905049,68748.509917
4.000000,-4.160526,9849151677.365875,410114.773396,6609847204.998808,69992.535362
4.000000,-3.671053,10196313171.120346,296884.762285,6609878499.485189,70942.204952
4.000000,-3.181579,10456951779.938477,202397.629640,6609925649.559428,71945.725665
4.000000,-2.692105,10620174494.809473,129311.114739,6609988643.466549,73647.341458
4.000000,-2.202632,10679541192.436487,78301.658542,6610067465.506247,76874.871022
4.000000,-1.713158,10633506395.263758,48296.521255,6610162096.039410,82451.787381
4.000000,-1.223684,10485489065.718630,36863.417974,6610272511.496278,90971.281482
4.000000,-0.734211,10243565098.607807,40682.043563,6610398684.386220,102596.844124
4.000000,-0.244737,9919816661.927784,56022.732714,6610540583.309149,116958.358746
