run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
124,0.0,0.0,18.48931925163521,35.314105385950946,39561.57421875,1.0,1.0,0.2647059549602159,1.008426978278497,0.2603684157986158
125,0.0,0.0,12.75158482628083,16.541969735826637,20765.564453125,1.0,1.0,0.26147178241474034,0.9961060357906131,0.28195704384124115
126,0.0,0.0,13.026493999207467,16.20793297515892,21820.0859375,1.0,1.0,0.2617969115992861,0.9973446518284386,0.2798522743268342
127,0.0,0.0,19.575282717722487,24.3288905333914,30751.73828125,1.0,1.0,0.26367380688861103,1.0044948946155476,0.26741646942803377
128,0.0,0.0,14.512470418285105,20.73457925663076,25059.16015625,1.0,1.0,0.2626187792305768,1.0004756486059458,0.2745165060562101
129,0.0,0.0,13.27986742768248,12.869117993395855,17137.83203125,1.0,1.0,0.26009560615157556,0.9908633382062296,0.29053111223328554
130,0.0,0.0,17.986849718409232,18.5584929553384,23925.02734375,1.0,1.0,0.2623698966949288,0.9995275027155084,0.2760705400728514
131,0.0,0.0,17.12650926429887,24.982763206303456,30420.576171875,1.0,1.0,0.2636165224933581,1.0042766632968902,0.2678389320146689
132,0.0,0.0,15.74254343561085,17.031759807782805,21290.74609375,1.0,1.0,0.2616469150897308,0.996773223328064,0.280779346868636
133,0.0,0.0,20.85097497294725,18.684470024722817,23550.357421875,1.0,1.0,0.2622852324398828,0.9992049647548604,0.2765836430479674
134,0.0,0.0,15.375164428491896,24.349438856543525,28864.880859375,1.0,1.0,0.263360129423052,1.0032999051836125,0.2695902232707427
135,0.0,0.0,13.427584083946686,15.178341585324194,20216.228515625,1.0,1.0,0.2612991578794996,0.9954484032924107,0.2830207783524789
136,0.0,0.0,18.525846891216183,26.941280412003543,31359.34765625,1.0,1.0,0.2637576783300325,1.0048144122639104,0.266878121343362
137,0.0,0.0,9.763450603109684,12.742524670685643,16773.158203125,1.0,1.0,0.2599025631370175,0.9901279192245228,0.29182698102259264
138,0.0,0.0,15.336064403601116,17.47099581128172,23252.9921875,1.0,1.0,0.26219539194488317,0.9988627073284526,0.2772395252572323
139,0.0,0.0,16.912808169633085,24.794269844562088,28811.869140625,1.0,1.0,0.2633541391421963,1.0032770845378765,0.26961487516178384
140,0.0,0.0,12.926473570248053,16.265667359082652,19706.201171875,1.0,1.0,0.26111623856160227,0.994751551666826,0.2842176625242157
141,0.0,0.0,7.829096766143493,14.35752761338914,17470.697265625,1.0,1.0,0.2602056436866673,0.9912825385186158,0.2900490271778107
142,0.0,0.0,11.94353269213686,19.360754869112128,23634.81640625,1.0,1.0,0.2622749848325528,0.9991659253471677,0.2768076672105503
143,0.0,0.0,15.600650017278127,18.14837100429396,22689.423828125,1.0,1.0,0.2620451236214312,0.9982902433225996,0.27822436697743247
144,0.0,0.0,10.42635286688033,18.49751218611777,21947.720703125,1.0,1.0,0.2618162008904791,0.9974181365433321,0.27981685998922257
145,0.0,0.0,20.30856578910321,29.436948130601856,35055.68359375,1.0,1.0,0.26424225116631994,1.0066604467481992,0.2635520374323126
146,0.0,0.0,12.469615269308976,14.719463808103466,18928.318359375,1.0,1.0,0.2608337543636102,0.9936753964808372,0.28598651919599183
147,0.0,0.0,13.51404232723828,24.634480776490385,29937.01171875,1.0,1.0,0.2635322098691202,1.0039554649131828,0.268453235401087
148,0.0,0.0,17.944339857253627,33.813147525082464,38867.9140625,1.0,1.0,0.2646404436432964,1.0081774055804664,0.26082548313772924
149,0.0,0.0,11.83380292459481,13.532651098019562,18138.583984375,1.0,1.0,0.2605213359179058,0.9924852034260285,0.28793920486053154
150,0.0,0.0,13.22766204335602,13.763416355305404,18447.244140625,1.0,1.0,0.2606536768898955,0.9929893711789075,0.287078387970574
151,0.0,0.0,18.59433638208274,22.974563640916468,29225.13671875,1.0,1.0,0.2634314395854374,1.003571569232824,0.26905645442999415
152,0.0,0.0,15.996372860910274,23.28407729143866,28964.1796875,1.0,1.0,0.2633804530847149,1.0033773304486442,0.26943596415322674
153,0.0,0.0,17.46256324267345,14.341704041270544,19138.083984375,1.0,1.0,0.26093814055634484,0.9940730673716535,0.2852056405242456
154,0.0,0.0,14.817172879222955,20.60684573188675,25153.76953125,1.0,1.0,0.2626411804654987,1.0005609886189628,0.27436211992430976
155,0.0,0.0,17.81740939725772,11.712207221892854,17140.388671875,1.0,1.0,0.26012846430417524,0.9909885150181487,0.290176809719126
156,0.0,0.0,9.921550512062778,12.62344636334193,16719.625,1.0,1.0,0.25987843620031165,0.9900360049573087,0.2919673994077934
157,0.0,0.0,16.724699018919974,16.962763056871633,21967.1484375,1.0,1.0,0.2618514698623314,0.9975524976411675,0.27944046281383
158,0.0,0.0,12.0214161566446,13.787182866163388,18598.75390625,1.0,1.0,0.26070745783745713,0.9931942557212545,0.28677268207413936
159,0.0,0.0,19.054754275647007,29.939170124509168,35183.03515625,1.0,1.0,0.2642543729325535,1.006706625974111,0.2634825546982105
160,0.0,0.0,12.869722632728903,22.61635093719069,27922.02734375,1.0,1.0,0.263189456791967,1.0026497086828734,0.27075913304252147
161,0.0,0.0,12.6588871169731,21.845886649814336,25637.037109375,1.0,1.0,0.2627374924819917,1.000927900031207,0.2737720840648421
162,0.0,0.0,18.1076904880827,20.336020854473603,26956.767578125,1.0,1.0,0.26302700288383213,1.0020308223275793,0.2717477913964001
163,0.0,0.0,10.863631341962876,18.77973031134764,22080.095703125,1.0,1.0,0.26185545373747243,0.997567674659648,0.2795565734525607
164,0.0,0.0,18.76847073448084,22.065156119746423,26851.728515625,1.0,1.0,0.2630042076443994,1.0019439813102562,0.271911151564375
165,0.0,0.0,10.249961752453522,16.67343846326145,19215.30078125,1.0,1.0,0.26092341193610996,0.9940169570434974,0.28551245531842034
166,0.0,0.0,12.806862875248456,18.4666416943814,21707.576171875,1.0,1.0,0.26175599862227794,0.9971887892609232,0.2801560904360396
167,0.0,0.0,14.992611810776058,12.747318298443354,17317.49609375,1.0,1.0,0.2601877417388395,0.9912143390436323,0.28991170686182005
168,0.0,0.0,16.3998680381276,30.025278305870525,34206.66015625,1.0,1.0,0.26413194813256186,1.0062402349889121,0.2643535542161781
169,0.0,0.0,11.341746167937446,15.394869268098914,19065.7109375,1.0,1.0,0.2608773997413023,0.9938416684347435,0.285753279568624
170,0.0,0.0,10.336627529799369,11.230337627657969,15009.5478515625,1.0,1.0,0.25897413367514033,0.9865909632201662,0.2974231762152351
171,0.0,0.0,12.05327761691392,18.719869727276336,23584.25390625,1.0,1.0,0.26226421306212255,0.9991248890814468,0.27686837500794137
172,0.0,0.0,20.607027359871086,34.80235995404995,39923.375,1.0,1.0,0.26474297926291823,1.0085680265057746,0.260090640442191
173,0.0,0.0,11.5257592747609,20.73135531856147,25018.51953125,1.0,1.0,0.26259968430343555,1.000402904342673,0.2746932088471081
174,0.0,0.0,11.296278507373476,14.940512762578214,18870.966796875,1.0,1.0,0.2608046885810149,0.993564667127135,0.28620462439037414
175,0.0,0.0,12.713436450166004,24.89580276077352,29312.927734375,1.0,1.0,0.2634280083028813,1.0035584973776774,0.2691713866058136
176,0.0,0.0,11.581728973459771,12.061420140592888,16183.931640625,1.0,1.0,0.25962569360048726,0.9890731537201256,0.29344963658968487
177,0.0,0.0,13.571267039269149,15.410065531463356,20348.14453125,1.0,1.0,0.2613431169561026,0.9956158703174472,0.282741538398922
178,0.0,0.0,12.29177469411022,20.914618163918096,25231.53125,1.0,1.0,0.2626495547636669,1.0005928914456228,0.2743518015296561
179,0.0,0.0,9.307222796152251,17.883281338547487,21221.111328125,1.0,1.0,0.26159551693504574,0.9965774163020151,0.28126035979975594
180,0.0,0.0,14.683721621013516,19.118968603707163,24462.759765625,1.0,1.0,0.26248636412509413,0.9999711984332234,0.2753673297828852
181,0.0,0.0,19.372864206908343,19.17674908187617,25238.298828125,1.0,1.0,0.2626773547591405,1.000698798641537,0.2740359779874526
182,0.0,0.0,16.518549791936927,21.22405365315567,26631.3203125,1.0,1.0,0.2629563358836294,1.001761608476727,0.2722516524710602
183,0.0,0.0,20.489037173806363,19.33139962777902,25616.353515625,1.0,1.0,0.26276228978840016,1.0010223681468742,0.27346110995492845
184,0.0,0.0,11.92375604846261,21.58287091485985,26513.06640625,1.0,1.0,0.2629180079239569,1.0016155938222326,0.27258117610164967
185,0.0,0.0,15.03993777950584,12.94363863902764,17620.37890625,1.0,1.0,0.260321353112627,0.9917233465344248,0.2890868213890652
186,0.0,0.0,10.815067421030491,9.710607159856131,13915.0947265625,1.0,1.0,0.25829464126409524,0.9840023607879452,0.30140626640463497
187,0.0,0.0,10.579171389311526,13.113842716688112,17761.646484375,1.0,1.0,0.2603565202943144,0.991857319851228,0.288994951711903
188,0.0,0.0,18.199660426408133,25.45746609320735,31346.935546875,1.0,1.0,0.26375739318789365,1.004813325983001,0.2668723355025906
189,0.0,0.0,12.982104633346458,16.233692234911807,19965.365234375,1.0,1.0,0.2612073450954384,0.9950986322099578,0.2836362698100001
