run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
190,0.0,0.0,12.216410194040124,16.496493818357774,21907.08203125,1.0,1.0,0.2618177796886268,0.9974241511516762,0.2797394868959866
191,0.0,0.0,15.160102667801024,19.245360172493825,23790.974609375,1.0,1.0,0.26232568950760005,0.9993590904848776,0.27641614916949386
192,0.0,0.0,16.598673398198656,25.74946629043641,31880.6875,1.0,1.0,0.26383011881534885,1.0050903824049053,0.26639621851454526
193,0.0,0.0,20.22271782482248,22.614503033665173,28538.220703125,1.0,1.0,0.2633188074477046,1.0031424844911223,0.26979211105619383
194,0.0,0.0,10.130741408444273,22.59863580788426,26468.28125,1.0,1.0,0.26290147617555315,1.0015526142753954,0.27272977828721884
195,0.0,0.0,16.6532919120211,26.13069132187136,31185.591796875,1.0,1.0,0.26372929451126753,1.004706280927789,0.2670862098115694
196,0.0,0.0,23.16309276712409,20.88027187423591,27157.63671875,1.0,1.0,0.26307731681147967,1.0022224988693125,0.27135496793539415
197,0.0,0.0,11.655051123125505,26.707124396360467,29742.9140625,1.0,1.0,0.26349358001281986,1.0038083001496771,0.26875323062492856
198,0.0,0.0,14.421770001899516,18.42991297882492,23129.982421875,1.0,1.0,0.26215724008003943,0.9987173635269283,0.2775193849759319
199,0.0,0.0,23.096340903215506,11.582778271519402,17742.767578125,1.0,1.0,0.26041986039622617,0.9920986210625452,0.28825960187132577
200,0.0,0.0,16.33595089624197,25.029480507671423,28930.98828125,1.0,1.0,0.26337272758224417,1.0033478992818485,0.26949860955024335
